 Mass = 0 
 8.10e+21 -3.5893368693e-22 -1.04e+21 -2.91e+00 
 1.37e+22 -1.0489227226e-22 -8.51e+20 -1.44e+00 
 1.10e+22 1.0793679754e-22 -4.04e+21 1.18e+00 
 4.23e+21 2.5004218276e-22 -7.46e+21 1.06e+00 
 -3.61e+21 4.2623221228e-22 -7.97e+21 -1.54e+00 
 -9.82e+21 5.2618950235e-22 -5.05e+21 -5.17e+00 
 -1.19e+22 5.9261894697e-22 -1.18e+20 -7.05e+00 
 -8.86e+21 5.8421676576e-22 4.58e+21 -5.18e+00 
 -1.98e+21 6.7058382552e-22 7.02e+21 -1.33e+00 
 5.78e+21 5.5314951717e-22 6.18e+21 3.20e+00 
 1.10e+22 5.4785717778e-22 2.45e+21 6.03e+00 
 1.14e+22 6.2220010022e-22 -2.53e+21 7.10e+00 
 6.78e+21 5.8074264365e-22 -6.56e+21 3.94e+00 
 -8.53e+20 4.8935080386e-22 -7.87e+21 -4.18e-01 
 -8.15e+21 4.3739806140e-22 -5.87e+21 -3.56e+00 
 -1.19e+22 2.4026350650e-22 -1.43e+21 -2.86e+00 
 -1.04e+22 -5.1272302041e-23 3.51e+21 5.35e-01 
 -4.39e+21 -3.4927671544e-22 6.78e+21 1.53e+00 
 3.59e+21 -4.5738968680e-22 6.94e+21 -1.64e+00 
 1.00e+22 -5.2151399236e-22 3.92e+21 -5.22e+00 
 1.20e+22 -6.4947305201e-22 -9.40e+20 -7.79e+00 
 8.66e+21 -6.4073920400e-22 -5.48e+21 -5.55e+00 
 1.46e+21 -7.2301141684e-22 -7.69e+21 -1.06e+00 
 -6.43e+21 -6.3763198694e-22 -6.58e+21 4.10e+00 
 -1.15e+22 -6.0756377158e-22 -2.63e+21 6.98e+00 
 -1.15e+22 -5.7140443448e-22 2.41e+21 6.55e+00 
 -6.34e+21 -5.0609377190e-22 6.29e+21 3.21e+00 
 1.62e+21 -4.4876212598e-22 7.28e+21 -7.29e-01 
 8.86e+21 -2.3064903455e-22 4.95e+21 -2.04e+00 
 1.21e+22 -8.9224390618e-23 3.20e+20 -1.08e+00 
 9.94e+21 6.8589916081e-23 -4.52e+21 6.82e-01 
 3.28e+21 2.8201853625e-22 -7.42e+21 9.26e-01 
 -4.88e+21 4.5638179822e-22 -7.05e+21 -2.23e+00 
 -1.09e+22 5.3785628045e-22 -3.58e+21 -5.85e+00 
 -1.20e+22 6.2604323847e-22 1.43e+21 -7.52e+00 
 -7.75e+21 5.9434537704e-22 5.74e+21 -4.61e+00 
 4.48e+17 6.9144277609e-22 7.40e+21 3.09e-04 
 7.76e+21 7.1385336529e-22 5.66e+21 5.54e+00 
 1.20e+22 6.7749560263e-22 1.31e+21 8.14e+00 
 1.08e+22 6.2706604575e-22 -3.69e+21 6.79e+00 
 4.70e+21 5.0858031296e-22 -7.08e+21 2.39e+00 
 -3.60e+21 3.1509498303e-22 -7.30e+21 -1.13e+00 
 -1.03e+22 1.7108072161e-22 -4.27e+21 -1.76e+00 
 -1.24e+22 -1.3862027017e-23 6.57e+20 1.71e-01 
 -8.78e+21 -2.0040928632e-22 5.23e+21 1.76e+00 
 -1.19e+21 -3.4033081738e-22 7.36e+21 4.05e-01 
 6.95e+21 -4.2521516004e-22 6.09e+21 -2.95e+00 
 1.19e+22 -6.2465537325e-22 1.98e+21 -7.44e+00 
 1.14e+22 -6.5326731384e-22 -3.08e+21 -7.45e+00 
 5.65e+21 -7.0313226593e-22 -6.77e+21 -3.97e+00 
 -2.73e+21 -7.6585832614e-22 -7.40e+21 2.09e+00 
 -9.88e+21 -7.1287808420e-22 -4.67e+21 7.04e+00 
 -1.25e+22 -5.6688700724e-22 1.66e+20 7.10e+00 
 -9.42e+21 -4.6553091434e-22 4.88e+21 4.38e+00 
 -1.98e+21 -3.4756186939e-22 7.31e+21 6.87e-01 
 6.39e+21 -2.7455390478e-22 6.31e+21 -1.75e+00 
 1.18e+22 -6.7185774626e-23 2.36e+21 -7.93e-01 
 1.18e+22 4.6124050259e-23 -2.73e+21 5.42e-01 
 6.23e+21 1.7032301602e-22 -6.59e+21 1.06e+00 
 -2.23e+21 3.9217600334e-22 -7.42e+21 -8.73e-01 
 -9.69e+21 5.7376734243e-22 -4.85e+21 -5.56e+00 
 -1.27e+22 5.9682955999e-22 -5.09e+19 -7.57e+00 
 -9.76e+21 7.7029441310e-22 4.73e+21 -7.52e+00 
 -2.28e+21 7.6734703047e-22 7.27e+21 -1.75e+00 
 6.27e+21 7.7818398696e-22 6.38e+21 4.88e+00 
 1.19e+22 6.3125947481e-22 2.46e+21 7.50e+00 
 1.19e+22 5.5238949697e-22 -2.64e+21 6.58e+00 
 6.33e+21 3.4332635074e-22 -6.54e+21 2.17e+00 
 -2.25e+21 3.5136250798e-22 -7.40e+21 -7.92e-01 
 -9.82e+21 1.4137226282e-22 -4.82e+21 -1.39e+00 
 -1.28e+22 -2.8894489456e-23 4.53e+18 3.69e-01 
 -9.75e+21 -2.1792019530e-22 4.79e+21 2.12e+00 
 -2.11e+21 -4.1763500400e-22 7.28e+21 8.82e-01 
 6.54e+21 -5.1897839575e-22 6.30e+21 -3.39e+00 
 1.21e+22 -6.0606900454e-22 2.30e+21 -7.33e+00 
 1.19e+22 -6.7311347003e-22 -2.81e+21 -8.03e+00 
 6.06e+21 -7.0961512452e-22 -6.62e+21 -4.30e+00 
 -2.73e+21 -7.1459513754e-22 -7.30e+21 1.95e+00 
 -1.03e+22 -6.7384553767e-22 -4.54e+21 6.92e+00 
